date,equity,cash,invested,drawdown
2024-07-22,768.9974577099986,0.0,768.9974577099986,-0.7246852003586843
2024-07-23,750.8235585101205,0.0,750.8235585101205,-0.7311917802787479
2024-07-24,744.4466379017724,0.0,744.4466379017724,-0.7334748315450604
2024-07-25,749.2742222161761,0.0,749.2742222161761,-0.7317464702937378
2024-07-26,773.2788002044663,0.0,773.2788002044663,-0.723152403417365
2024-07-27,773.1479617948129,0.0,773.1479617948129,-0.723199245900624
2024-07-28,777.1719545888311,0.0,777.1719545888311,-0.7217585847401278
2024-07-29,760.48760911974,0.0,760.48760911974,-0.7277318778686228
2024-07-30,753.6930076701315,0.0,753.6930076701315,-0.7301644663225719
2024-07-31,735.9290460461905,0.0,735.9290460461905,-0.7365242812820327
2024-08-01,744.196348237353,0.0,744.196348237353,-0.7335644397071175
2024-08-02,700.2910090105498,0.0,700.2910090105498,-0.7492833339000939
2024-08-03,691.1774134681749,0.0,691.1774134681749,-0.7525461635825649
2024-08-04,662.2883153910454,0.0,662.2883153910454,-0.7628889757325663
2024-08-05,615.1205562890761,0.0,615.1205562890761,-0.7797758744036747
2024-08-06,637.9313049589983,0.0,637.9313049589983,-0.7716092197070132
2024-08-07,627.8212194924496,0.0,627.8212194924496,-0.7752288105478833
2024-08-08,702.4279224966708,0.0,702.4279224966708,-0.7485182807749065
2024-08-09,692.7716151523747,0.0,692.7716151523747,-0.751975410957998
2024-08-10,693.7454446383231,0.0,693.7454446383231,-0.7516267626404768
2024-08-11,668.5693561552438,0.0,668.5693561552438,-0.7606402511598171
2024-08-12,675.789381711436,0.0,675.789381711436,-0.7580553532911979
2024-08-13,689.9152612204841,0.0,689.9152612204841,-0.7529980365890436
2024-08-14,668.2368512325394,0.0,668.2368512325394,-0.760759293850084
2024-08-15,655.2289625903107,0.0,655.2289625903107,-0.7654163498902383
2024-08-16,670.4141891185096,0.0,670.4141891185096,-0.7599797680690593
2024-08-17,677.444504674282,0.0,677.444504674282,-0.7574627897627635
2024-08-18,665.3212840952356,0.0,665.3212840952356,-0.7618031188643277
2024-08-19,676.8354057593689,0.0,676.8354057593689,-0.7576808580333927
2024-08-20,671.9992810787999,0.0,671.9992810787999,-0.7594122768880612
2024-08-21,696.3931858926812,0.0,696.3931858926812,-0.7506788240671602
2024-08-22,687.5090415212821,0.0,687.5090415212821,-0.7538595061397383
2024-08-23,729.2019704250627,0.0,729.2019704250627,-0.7389326942855269
2024-08-24,730.5658099658956,0.0,730.5658099658956,-0.73844441541521
2024-08-25,731.2830868522367,0.0,731.2830868522367,-0.7381876175021994
2024-08-26,715.5004901786583,0.0,715.5004901786583,-0.7438380684854126
2024-08-27,676.5678076195211,0.0,676.5678076195211,-0.7577766629382305
2024-08-28,672.2395500469186,0.0,672.2395500469186,-0.7593262563139299
2024-08-29,675.93024081739,0.0,675.93024081739,-0.7580049232200129
